Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2015,_L_LA_170601_01,,Number,,36
2016,_L_LA_170601_01,,Number,,15
2017,_L_LA_170601_01,,Number,,32
2018,_L_LA_170601_01,,Number,,48
2019,_L_LA_170601_01,,Number,,18
2015,_L_LA_170603_01,,Number,,63
2016,_L_LA_170603_01,,Number,,46
2017,_L_LA_170603_01,,Number,,16
2018,_L_LA_170603_01,,Number,,18
2019,_L_LA_170603_01,,Number,,18
2015,_L_LA_170603_02,,Number,,28
2016,_L_LA_170603_02,,Number,,22
2017,_L_LA_170603_02,,Number,,23
2018,_L_LA_170603_02,,Number,,18
2019,_L_LA_170603_02,,Number,,24
