Year,Value,GeoCode,UNIT_MEASURE,SERIES
2015,20.2,,Percent,Total government revenue as a proportion of GDP [17.1.1]
2015,16.3,,Percent,_L_LA_170101_01
2015,3.9,,Percent,_L_LA_170101_02
2016,16.4,,Percent,Total government revenue as a proportion of GDP [17.1.1]
2016,15.0,,Percent,_L_LA_170101_01
2016,1.4,,Percent,_L_LA_170101_02
2017,16.3,,Percent,Total government revenue as a proportion of GDP [17.1.1]
2017,14.6,,Percent,_L_LA_170101_01
2017,1.7,,Percent,_L_LA_170101_02
2018,16.2,,Percent,Total government revenue as a proportion of GDP [17.1.1]
2018,14.3,,Percent,_L_LA_170101_01
2018,1.9,,Percent,_L_LA_170101_02
2019,15.3,,Percent,Total government revenue as a proportion of GDP [17.1.1]
2019,13.6,,Percent,_L_LA_170101_01
2019,1.7,,Percent,_L_LA_170101_02
