Year,Value,GeoCode,UNIT_MEASURE,SERIES
2015,550,,Number,"Number of new HIV infections per 1,000 uninfected population [3.3.1]"
2016,870,,Number,"Number of new HIV infections per 1,000 uninfected population [3.3.1]"
2017,830,,Number,"Number of new HIV infections per 1,000 uninfected population [3.3.1]"
2018,810,,Number,"Number of new HIV infections per 1,000 uninfected population [3.3.1]"
2019,780,,Number,"Number of new HIV infections per 1,000 uninfected population [3.3.1]"
2015,32,,Percent,_L_LA_030301_01
2016,39,,Percent,_L_LA_030301_01
2017,47,,Percent,_L_LA_030301_01
2018,50,,Percent,_L_LA_030301_01
2019,56,,Percent,_L_LA_030301_01
