Year,SERIES,REF_AREA,ເພດ,AGE,ລະດັບການເມືອງ,UNIT_MEASURE,GeoCode,Value
2013,,,,,,PT,,33.1
2018,,,,,,PT,,22.0
2013,,,,,ຕົວເມືອງ,PT,,42.5
2018,,,,,ຕົວເມືອງ,PT,,22.0
2013,,,,,ຊົນນະບົດ,PT,,9.9
2018,,,,,ຊົນນະບົດ,PT,,28.9
2013,,,ຜູ້ຊາຍ,,,PT,,33.2
2018,,,ຜູ້ຊາຍ,,,PT,,22.0
2013,,,ຜູ້ຍິງ,,,PT,,33.0
2018,,,ຜູ້ຍິງ,,,PT,,21.8
2013,,,,Y0T14,,PT,,44.5
2013,,,,Y15T24,,PT,,28.7
2013,,,,Y55T64,,PT,,24.2
2013,,,,Y_GE65,,PT,,29.1
2018,,,,Y0T14,,PT,,29.8
2018,,,,Y15T24,,PT,,22.2
2018,,,,Y55T64,,PT,,15.4
2018,,,,Y_GE65,,PT,,19.2
