Year,SERIES,ເຂດອ້າງອີງ,ເພດ,UNIT_MEASURE,GeoCode,Value
2015,_L_LA_171903_01,,,ເລກທີ,,14042
2015,_L_LA_171903_01,,ຜູ້ຊາຍ,ເລກທີ,,5637
2015,_L_LA_171903_01,,ຜູ້ຍິງ,ເລກທີ,,8405
2016,_L_LA_171903_01,,,ເລກທີ,,17157
2016,_L_LA_171903_01,,ຜູ້ຊາຍ,ເລກທີ,,7339
2016,_L_LA_171903_01,,ຜູ້ຍິງ,ເລກທີ,,9818
2017,_L_LA_171903_01,,,ເລກທີ,,15646
2017,_L_LA_171903_01,,ຜູ້ຊາຍ,ເລກທີ,,6719
2017,_L_LA_171903_01,,ຜູ້ຍິງ,ເລກທີ,,8927
2018,_L_LA_171903_01,,,ເລກທີ,,19238
2018,_L_LA_171903_01,,ຜູ້ຊາຍ,ເລກທີ,,8173
2018,_L_LA_171903_01,,ຜູ້ຍິງ,ເລກທີ,,11065
