Year,SERIES,ເຂດອ້າງອີງ,UNIT_MEASURE,GeoCode,Value
2015,_L_LA_170601_01,,ເລກທີ,,36
2016,_L_LA_170601_01,,ເລກທີ,,15
2017,_L_LA_170601_01,,ເລກທີ,,32
2018,_L_LA_170601_01,,ເລກທີ,,48
2019,_L_LA_170601_01,,ເລກທີ,,18
2015,_L_LA_170603_01,,ເລກທີ,,63
2016,_L_LA_170603_01,,ເລກທີ,,46
2017,_L_LA_170603_01,,ເລກທີ,,16
2018,_L_LA_170603_01,,ເລກທີ,,18
2019,_L_LA_170603_01,,ເລກທີ,,18
2015,_L_LA_170603_02,,ເລກທີ,,28
2016,_L_LA_170603_02,,ເລກທີ,,22
2017,_L_LA_170603_02,,ເລກທີ,,23
2018,_L_LA_170603_02,,ເລກທີ,,18
2019,_L_LA_170603_02,,ເລກທີ,,24
