Year,SERIES,REF_AREA,ເພດ,ລະດັບການເມືອງ,INCOME_WEALTH_QUANTILE,UNIT_MEASURE,GeoCode,Value
2012,,,,,,PT,,5.1
2018,,,,,,PT,,9.0
2018,,,,ຕົວເມືອງ,,PT,,7.0
2018,,,,ຊົນນະບົດ,,PT,,9.8
2018,,,ຜູ້ຊາຍ,,,PT,,9.4
2018,,,ຜູ້ຍິງ,,,PT,,8.6
2018,,,,,Q1,PT,,11.9
2018,,,,,Q2,PT,,9.4
2018,,,,,Q3,PT,,9.6
2018,,,,,Q4,PT,,6.5
2018,,,,,Q5,PT,,6.0
2012,,,,,,PT,,2.5
2018,,,,,,PT,,3.5
2018,,,,ຕົວເມືອງ,,PT,,4.8
2018,,,,ຊົນນະບົດ,,PT,,3.1
2018,,,ຜູ້ຊາຍ,,,PT,,3.9
2018,,,ຜູ້ຍິງ,,,PT,,3.1
2018,,,,,Q1,PT,,4.0
2018,,,,,Q2,PT,,2.5
2018,,,,,Q3,PT,,20.0
2018,,,,,Q4,PT,,3.1
2018,,,,,Q5,PT,,6.4
