Year,SERIES,ເຂດອ້າງອີງ,ລະດັບການສຶກສາ,UNIT_MEASURE,GeoCode,Value
2015,_L_LA_040501_01,,ການສຶກສາຊັ້ນປະຖົມສຶກສາ,ເປີເຊັນ,,0.97
2015,_L_LA_040501_01,,ການສຶກສາທົ່ວໄປຊັ້ນມັດທະຍົມຕອນລຸ່ມ,ເປີເຊັນ,,0.95
2015,_L_LA_040501_01,,ຊັ້ນມັດທະຍົມສຶກສາຊັ້ນມັດທະຍົມສຶກສາ,ເປີເຊັນ,,0.88
2016,_L_LA_040501_01,,ການສຶກສາຊັ້ນປະຖົມສຶກສາ,ເປີເຊັນ,,0.97
2016,_L_LA_040501_01,,ການສຶກສາທົ່ວໄປຊັ້ນມັດທະຍົມຕອນລຸ່ມ,ເປີເຊັນ,,0.95
2016,_L_LA_040501_01,,ຊັ້ນມັດທະຍົມສຶກສາຊັ້ນມັດທະຍົມສຶກສາ,ເປີເຊັນ,,0.91
2017,_L_LA_040501_01,,ການສຶກສາຊັ້ນປະຖົມສຶກສາ,ເປີເຊັນ,,0.98
2017,_L_LA_040501_01,,ການສຶກສາທົ່ວໄປຊັ້ນມັດທະຍົມຕອນລຸ່ມ,ເປີເຊັນ,,0.95
2017,_L_LA_040501_01,,ຊັ້ນມັດທະຍົມສຶກສາຊັ້ນມັດທະຍົມສຶກສາ,ເປີເຊັນ,,0.91
2018,_L_LA_040501_01,,ການສຶກສາຊັ້ນປະຖົມສຶກສາ,ເປີເຊັນ,,0.98
2018,_L_LA_040501_01,,ການສຶກສາທົ່ວໄປຊັ້ນມັດທະຍົມຕອນລຸ່ມ,ເປີເຊັນ,,0.96
2018,_L_LA_040501_01,,ຊັ້ນມັດທະຍົມສຶກສາຊັ້ນມັດທະຍົມສຶກສາ,ເປີເຊັນ,,0.91
