Year,SERIES,REF_AREA,ເພດ,AGE,ລະດັບການເມືອງ,UNIT_MEASURE,GeoCode,Value
2013,,,,,,ເປີເຊັນ,,33.1
2018,,,,,,ເປີເຊັນ,,22.0
2013,,,,,ຕົວເມືອງ,ເປີເຊັນ,,42.5
2018,,,,,ຕົວເມືອງ,ເປີເຊັນ,,22.0
2013,,,,,ຊົນນະບົດ,ເປີເຊັນ,,9.9
2018,,,,,ຊົນນະບົດ,ເປີເຊັນ,,28.9
2013,,,ຜູ້ຊາຍ,,,ເປີເຊັນ,,33.2
2018,,,ຜູ້ຊາຍ,,,ເປີເຊັນ,,22.0
2013,,,ຜູ້ຍິງ,,,ເປີເຊັນ,,33.0
2018,,,ຜູ້ຍິງ,,,ເປີເຊັນ,,21.8
2013,,,,Y0T14,,ເປີເຊັນ,,44.5
2013,,,,Y15T24,,ເປີເຊັນ,,28.7
2013,,,,Y55T64,,ເປີເຊັນ,,24.2
2013,,,,Y_GE65,,ເປີເຊັນ,,29.1
2018,,,,Y0T14,,ເປີເຊັນ,,29.8
2018,,,,Y15T24,,ເປີເຊັນ,,22.2
2018,,,,Y55T64,,ເປີເຊັນ,,15.4
2018,,,,Y_GE65,,ເປີເຊັນ,,19.2
