Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2015,,,"ຕໍ່ 100,000 ຄົນ",,996.75
2016,,,"ຕໍ່ 100,000 ຄົນ",,358.1
2017,,,"ຕໍ່ 100,000 ຄົນ",,3805.69
2018,,,"ຕໍ່ 100,000 ຄົນ",,9270.11
2019,,,"ຕໍ່ 100,000 ຄົນ",,10795.47
2015,,,"ຕໍ່ 100,000 ຄົນ",,0.1
2016,,,"ຕໍ່ 100,000 ຄົນ",,0.07
2017,,,"ຕໍ່ 100,000 ຄົນ",,0.14
2018,,,"ຕໍ່ 100,000 ຄົນ",,0.91
2019,,,"ຕໍ່ 100,000 ຄົນ",,0.37
2015,,,"ຕໍ່ 100,000 ຄົນ",,0.38
2016,,,"ຕໍ່ 100,000 ຄົນ",,0.0
2017,,,"ຕໍ່ 100,000 ຄົນ",,0.0
2018,,,"ຕໍ່ 100,000 ຄົນ",,0.02
2019,,,"ຕໍ່ 100,000 ຄົນ",,0.22
2015,,,"ຕໍ່ 100,000 ຄົນ",,0.0
2016,,,"ຕໍ່ 100,000 ຄົນ",,0.0
2017,,,"ຕໍ່ 100,000 ຄົນ",,0.0
2018,,,"ຕໍ່ 100,000 ຄົນ",,0.37
2019,,,"ຕໍ່ 100,000 ຄົນ",,0.99
2015,,,"ຕໍ່ 100,000 ຄົນ",,1.37
2016,,,"ຕໍ່ 100,000 ຄົນ",,0.0
2017,,,"ຕໍ່ 100,000 ຄົນ",,0.0
2018,,,"ຕໍ່ 100,000 ຄົນ",,0.0
2019,,,"ຕໍ່ 100,000 ຄົນ",,50.0
