Year,Value,GeoCode,UNIT_MEASURE,SERIES
2015,36,,ເລກທີ,_L_LA_170601_01
2016,15,,ເລກທີ,_L_LA_170601_01
2017,32,,ເລກທີ,_L_LA_170601_01
2018,48,,ເລກທີ,_L_LA_170601_01
2019,18,,ເລກທີ,_L_LA_170601_01
2015,63,,ເລກທີ,_L_LA_170603_01
2016,46,,ເລກທີ,_L_LA_170603_01
2017,16,,ເລກທີ,_L_LA_170603_01
2018,18,,ເລກທີ,_L_LA_170603_01
2019,18,,ເລກທີ,_L_LA_170603_01
2015,28,,ເລກທີ,_L_LA_170603_02
2016,22,,ເລກທີ,_L_LA_170603_02
2017,23,,ເລກທີ,_L_LA_170603_02
2018,18,,ເລກທີ,_L_LA_170603_02
2019,24,,ເລກທີ,_L_LA_170603_02
