Year,Value,GeoCode,UNIT_MEASURE,SERIES
2015,550,,ເລກທີ,"ຈໍາ ນວນ ຜູ້ ຕິດ ເຊື້ອ HIV ໃຫມ່ ຕໍ່ 1,000 ຄົນ ທີ່ ບໍ່ ຕິດ ເຊື້ອ [3.3.1]"
2016,870,,ເລກທີ,"ຈໍາ ນວນ ຜູ້ ຕິດ ເຊື້ອ HIV ໃຫມ່ ຕໍ່ 1,000 ຄົນ ທີ່ ບໍ່ ຕິດ ເຊື້ອ [3.3.1]"
2017,830,,ເລກທີ,"ຈໍາ ນວນ ຜູ້ ຕິດ ເຊື້ອ HIV ໃຫມ່ ຕໍ່ 1,000 ຄົນ ທີ່ ບໍ່ ຕິດ ເຊື້ອ [3.3.1]"
2018,810,,ເລກທີ,"ຈໍາ ນວນ ຜູ້ ຕິດ ເຊື້ອ HIV ໃຫມ່ ຕໍ່ 1,000 ຄົນ ທີ່ ບໍ່ ຕິດ ເຊື້ອ [3.3.1]"
2019,780,,ເລກທີ,"ຈໍາ ນວນ ຜູ້ ຕິດ ເຊື້ອ HIV ໃຫມ່ ຕໍ່ 1,000 ຄົນ ທີ່ ບໍ່ ຕິດ ເຊື້ອ [3.3.1]"
2015,32,,ເປີເຊັນ,_L_LA_030301_01
2016,39,,ເປີເຊັນ,_L_LA_030301_01
2017,47,,ເປີເຊັນ,_L_LA_030301_01
2018,50,,ເປີເຊັນ,_L_LA_030301_01
2019,56,,ເປີເຊັນ,_L_LA_030301_01
