Value,lo,en,Disaggregation combinations using this value,Number of indicators
AG_FPA_COMM,AG_FPA_COMM,AG_FPA_COMM,1,1
AG_XPD_AGSGB,AG_XPD_AGSGB,AG_XPD_AGSGB,1,1
_L_LA_010401_01,_L_LA_010401_01,_L_LA_010401_01,1,1
_L_LA_010401_02,_L_LA_010401_02,_L_LA_010401_02,1,1
_L_LA_010401_03,_L_LA_010401_03,_L_LA_010401_03,1,1
_L_LA_010401_04,_L_LA_010401_04,_L_LA_010401_04,1,1
_L_LA_010401_05,_L_LA_010401_05,_L_LA_010401_05,1,1
_L_LA_020104_01,_L_LA_020104_01,_L_LA_020104_01,5,1
_L_LA_020201_01,_L_LA_020201_01,_L_LA_020201_01,10,1
SD_MDP_CSMP,SD_MDP_CSMP,SD_MDP_CSMP,9,1
SH_STA_STNT,SH_STA_STNT,SH_STA_STNT,10,1
SH_STA_WAST,SH_STA_WAST,SH_STA_WAST,10,1
SI_POV_DAY1,SI_POV_DAY1,SI_POV_DAY1,1,1
SI_POV_NAHC,SI_POV_NAHC,SI_POV_NAHC,9,1
SN_ITK_DEFC,SN_ITK_DEFC,SN_ITK_DEFC,1,1
SN_STA_OVWGT,SN_STA_OVWGT,SN_STA_OVWGT,10,1
VC_DSR_AFFCT,VC_DSR_AFFCT,VC_DSR_AFFCT,1,1
VC_DSR_IJILN,VC_DSR_IJILN,VC_DSR_IJILN,1,1
VC_DSR_MISS,VC_DSR_MISS,VC_DSR_MISS,1,1
VC_DSR_MORT,VC_DSR_MORT,VC_DSR_MORT,1,1
VC_DSR_PDYN,VC_DSR_PDYN,VC_DSR_PDYN,1,1
